StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.833722807854716,7,S,Moderado,N,N,S,N,2.929195591667681,C
1002,18,0,0,1,15.40875605584674,0,N,Baixo,N,N,N,N,3.042914833436377,B
1003,15,0,2,3,4.21056976881226,26,N,Moderado,N,N,N,N,0.1126022544661815,E
1004,17,1,0,3,10.028829473958217,14,N,Alto,S,N,N,N,2.0542181397029484,D
1005,17,1,0,2,4.6724952729713305,17,S,Alto,N,N,N,N,1.2880611817953875,E
1006,18,0,0,1,8.191218545250186,0,N,Baixo,S,N,N,N,3.0841836144863937,B
1007,15,0,1,1,15.601680474699297,10,N,Alto,N,S,N,N,2.748237414891583,C
1008,15,1,1,4,15.424496305808074,22,S,Baixo,S,N,N,N,1.360142712316461,E
1009,17,0,0,0,4.562007558047703,1,N,Moderado,N,S,N,S,2.896819189513569,C
1010,16,1,0,1,18.4444663630972,0,N,Alto,S,N,N,N,3.5734742103297656,A
1011,17,0,0,1,11.851363655296536,11,N,Baixo,N,N,N,N,2.1471716250185144,D
1012,17,0,0,1,7.59848581924029,15,N,Moderado,N,N,N,S,1.5595945190402771,E
1013,17,0,1,1,10.038711615617212,21,N,Alto,S,N,N,N,1.520077814874808,E
1014,17,0,1,2,12.101425068754876,21,N,Elevado,N,S,N,N,1.7515809583340785,E
1015,18,1,0,1,11.197810636915708,9,S,Moderado,N,N,N,N,2.396788117124796,D
1016,15,0,0,2,9.728100710723565,17,S,Nenhum,N,S,N,N,1.3415207165346672,E
1017,18,0,3,1,10.098656081788002,14,N,Moderado,S,S,N,N,2.232175277715976,D
1018,18,1,0,0,3.5282382085577235,16,S,Moderado,N,N,N,N,1.3844041756940335,E
1019,18,0,1,3,16.25465808609359,29,N,Moderado,S,N,N,S,0.4695533233798704,E
1020,17,0,0,1,10.835206398820308,9,N,Moderado,N,N,S,N,2.3957840945307,D
1021,16,1,0,3,2.621597234094062,2,N,Alto,N,N,N,S,2.778411299920653,C
1022,15,0,0,2,15.32314203165556,25,N,Baixo,S,N,N,N,0.3468940367050148,E
1023,16,1,1,0,18.648879567547016,29,S,Baixo,N,N,N,N,0.3125462305253549,E
1024,18,1,3,4,18.94613798473924,20,N,Moderado,S,N,N,N,1.7701318767799732,E
1025,18,1,0,1,7.380354648223455,15,N,Moderado,N,N,N,N,1.5051556220362858,E
1026,16,1,0,3,2.7103374712150807,5,N,Elevado,N,N,S,N,2.977851918315743,C
1027,16,0,0,1,10.367992532661304,2,N,Moderado,N,S,N,N,2.948717671911921,C
